Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
8,14,0,2,1.0
8,14,1,0,1.0
8,14,3,3,0.9210491397231191
8,14,2,1,0.8651095629514985
8,15,3,2,1.0
8,15,2,3,1.0
8,15,1,1,1.0
8,15,0,0,0.5614145136629161
8,16,3,1,1.0
8,16,1,0,1.0
8,16,2,3,0.7418212127526568
8,16,0,2,0.6820334701610357
8,17,3,2,1.0
8,17,1,0,1.0
8,17,2,1,0.9394384047476012
8,17,0,3,-0.09917355371900817
8,18,3,1,1.0
8,18,1,0,1.0
8,18,0,3,0.938108361898509
8,18,2,2,0.8240702585762851
8,19,3,1,1.0
8,19,0,0,1.0
8,19,1,3,1.0
8,19,2,2,0.9371102460410446
8,20,0,2,1.0
8,20,3,3,0.9201787159266015
8,20,1,1,0.9157998150716598
8,20,2,0,0.5458715596330276
8,21,3,3,1.0
8,21,0,1,1.0
8,21,2,2,0.9427812493196019
8,21,1,0,0.883562256195975
8,22,3,1,1.0
8,22,0,0,1.0
8,22,1,2,0.9433805466018651
8,22,2,3,0.5132877222064752
8,23,3,0,1.0
8,23,0,3,1.0
8,23,1,1,1.0
8,23,2,2,0.6446194833777366
8,24,3,3,1.0
8,24,1,0,1.0
8,24,2,2,0.8651095629514985
8,24,0,1,0.8341805193021019
8,25,3,2,1.0
8,25,1,1,1.0
8,25,2,0,0.12956386347334697
9,10,3,2,1.0
9,10,2,3,1.0
9,10,1,0,1.0
9,10,0,1,0.7453973955994612
9,11,0,3,1.0
9,11,1,1,1.0
9,11,3,0,0.8874243478489189
9,11,2,2,0.5771227050742272
9,12,3,0,1.0
9,12,2,2,1.0
9,12,1,1,1.0
9,12,0,3,0.8262236192186798
9,13,3,2,1.0
9,13,2,1,1.0
9,13,0,3,1.0
9,13,1,0,0.9389384333562
9,14,3,3,1.0
9,14,2,0,1.0
9,14,1,2,1.0
9,14,0,1,-0.02006425194604979
9,15,3,2,1.0
9,15,2,3,1.0
9,15,1,0,1.0
9,15,0,1,0.7453973955994612
9,16,3,3,1.0
9,16,2,0,1.0
9,16,1,1,1.0
9,16,0,2,0.45042678923177937
9,17,3,3,1.0
9,17,1,1,1.0
9,17,0,2,0.9183333333333333
9,17,2,0,0.9158588450951036
9,18,3,2,1.0
9,18,2,0,1.0
9,18,1,1,1.0
9,18,0,3,1.0
9,19,3,2,1.0
9,19,2,0,1.0
9,19,1,1,1.0
9,19,0,3,0.8142054098378343
9,20,3,3,1.0
9,20,2,0,0.9158588450951036
9,20,0,2,0.8788931410067707
9,20,1,1,0.22943149167830482
9,21,3,2,1.0
9,21,2,1,1.0
9,21,0,3,1.0
9,21,1,0,0.3395798553936791
9,22,3,3,1.0
9,22,1,0,1.0
9,22,2,2,0.8641970101832912
9,22,0,1,0.09334152118606881
9,23,3,2,1.0
9,23,1,0,1.0
9,23,0,3,1.0
9,23,2,1,0.9058427017902461
9,24,3,3,1.0
9,24,2,0,0.9525798830768871
9,24,0,1,0.9183333333333333
9,24,1,2,0.5263157894736842
9,25,3,2,1.0
9,25,2,1,1.0
9,25,1,0,0.2029840205463118
10,11,2,1,1.0
10,11,0,3,1.0
10,11,3,2,0.8394004282655246
10,11,1,0,0.5195566714016716
10,12,3,0,1.0
10,12,2,2,1.0
10,12,1,1,1.0
10,12,0,3,0.727650046569899
10,13,3,2,1.0
10,13,2,3,1.0
10,13,0,1,1.0
10,13,1,0,0.9053781574220039
10,14,3,3,1.0
10,14,2,0,1.0
10,14,1,2,1.0
10,14,0,1,0.6299121113093434
10,15,3,2,1.0
10,15,2,1,1.0
10,15,1,0,1.0
10,15,0,3,1.0
10,16,3,3,1.0
10,16,2,0,1.0
10,16,0,2,0.870264564448838
10,16,1,1,0.8610029674506153
10,17,3,1,1.0
10,17,2,0,1.0
10,17,0,3,0.5420846235998478
10,17,1,2,0.4983546065621527
10,18,3,2,1.0
10,18,2,0,1.0
10,18,1,1,1.0
10,18,0,3,0.5452768477482532
10,19,3,2,1.0
10,19,2,0,1.0
10,19,1,1,1.0
10,19,0,3,0.7023229814999946
10,20,3,3,1.0
10,20,2,0,1.0
10,20,0,2,0.8511167472999591
10,20,1,1,0.2774120889974729
10,21,3,2,1.0
10,21,2,1,1.0
10,21,0,0,0.5347762523315801
10,21,1,3,0.28888888888888886
10,22,3,3,1.0
10,22,2,0,1.0
10,22,0,2,0.9060024787192263
10,22,1,1,0.5881267399818626
10,23,2,1,1.0
10,23,0,3,1.0
10,23,1,0,0.9528044506510615
10,23,3,2,0.9098523125110143
10,24,3,3,1.0
10,24,0,0,1.0
10,24,2,1,0.9130179006639213
10,24,1,2,0.44131433213803434
10,25,3,2,1.0
10,25,2,1,1.0
10,25,1,0,0.15738962485441682
11,12,3,1,1.0
11,12,1,2,1.0
11,12,0,3,0.8756684491978609
11,12,2,0,0.7293671381160812
11,13,3,0,1.0
11,13,1,1,1.0
11,13,0,3,0.8874243478489189
11,13,2,2,0.486971535113939
