Solution 1,Solution 2,Cluster 1,Cluster 2,rand Similarity
0,101,0,3,0.572202023741732
0,101,2,2,0.5060934740929931
0,101,1,0,0.47196905430457103
0,102,2,2,0.552241732329054
0,102,3,1,0.5180021868166198
0,102,1,0,0.5053737154805501
0,102,0,3,0.3997975557838015
0,103,2,3,0.5526568117464966
0,103,3,2,0.5180021868166198
0,103,1,1,0.5053737154805501
0,103,0,0,0.400830866807611
0,104,2,3,0.5769359249674211
0,104,0,1,0.5687424598114394
0,104,1,0,0.5237564680212922
0,104,3,2,0.512057840469257
0,105,2,2,0.5768680805381726
0,105,0,3,0.5693350873792421
0,105,1,0,0.5237564680212922
0,105,3,1,0.5119012346482945
0,106,2,1,0.5767999777351034
0,106,0,2,0.5693399463579671
0,106,1,0,0.5237564680212922
0,106,3,3,0.5129511043953312
0,107,2,1,0.5613272780806395
0,107,3,2,0.5402830151931934
0,107,1,0,0.48963846082933704
0,107,0,3,0.3880539510977796
0,108,2,3,0.5629565045207321
0,108,3,2,0.5424765486449966
0,108,1,1,0.48963846082933704
0,108,0,0,0.38853314408895034
0,109,2,2,0.5768680805381726
0,109,0,1,0.5687424598114394
0,109,1,0,0.5237564680212922
0,109,3,3,0.5129511043953312
0,110,0,2,0.5687078289235857
0,110,2,3,0.5686302608589032
0,110,1,0,0.5498966467615986
0,110,3,1,0.4768135810085224
0,111,3,2,0.5804396971400548
0,111,0,1,0.5709994597514857
0,111,2,3,0.5060934740929931
0,111,1,0,0.47196905430457103
0,112,2,0,0.5703810245714475
0,112,1,3,0.5484920699891691
0,112,3,2,0.5318692915994248
0,112,0,1,0.471580662968902
0,113,0,2,0.556857833416218
0,113,3,0,0.5391885821721473
0,113,1,1,0.5283923309243405
0,113,2,3,0.4682164500106942
0,114,0,2,0.5573256544808736
0,114,1,3,0.5338461523252331
0,114,3,0,0.5060446053033871
0,114,2,1,0.484521075826412
0,115,3,3,0.5806043001736839
0,115,0,1,0.5709994597514857
0,115,2,2,0.5060408346634265
0,115,1,0,0.47196905430457103
0,116,1,0,0.40397160272560867
0,116,3,1,0.0036900369003690036
0,116,2,2,0.002680965147453083
1,2,3,1,0.5872845046398766
1,2,2,2,0.554528875030204
1,2,0,3,0.5275823216457614
1,2,1,0,0.5227233530408025
1,3,3,3,0.6055836401839023
1,3,1,0,0.547738950164529
1,3,0,1,0.5364401654942449
1,3,2,2,0.443371432712208
1,4,3,1,0.5670915160389662
1,4,2,2,0.5541179591552726
1,4,1,0,0.5300200628202105
1,4,0,3,0.46720457659935516
1,5,3,0,0.5769173586871045
1,5,2,2,0.5689845923055287
1,5,1,1,0.5458072944130145
1,5,0,3,0.5107851146060011
1,6,2,2,0.5630907369065815
1,6,0,1,0.5511325872115723
1,6,1,0,0.5383722684318771
1,6,3,3,0.44546368445965867
1,7,2,1,0.5565545620945528
1,7,3,0,0.5478289426715214
1,7,0,3,0.5424687212573855
1,7,1,2,0.5255066341301287
1,8,3,1,0.5722305543849211
1,8,0,0,0.5469833323891257
1,8,1,2,0.5456154339498362
1,8,2,3,0.53052884581458
1,9,3,3,0.5734791864132883
1,9,0,1,0.5469959791123907
1,9,1,2,0.5449324162482663
1,9,2,0,0.5300055682034438
1,10,3,2,0.5882783610056337
1,10,2,3,0.5545407633172763
1,10,0,1,0.527119659822332
1,10,1,0,0.5227233530408025
1,11,1,0,0.5735318060744469
1,11,3,3,0.5579809339372477
1,11,2,1,0.5558916401336736
1,11,0,2,0.4175288546444842
1,12,2,0,0.5576775623461059
1,12,3,2,0.5428405162882183
1,12,1,3,0.5299864396868526
1,12,0,1,0.4138425109577309
1,13,3,2,0.5825519112397326
1,13,1,0,0.5558436036782461
1,13,0,1,0.5291733239849977
1,13,2,3,0.48553600063089825
1,14,2,3,0.5445381281268057
1,14,0,1,0.5361372064738056
1,14,3,0,0.5330320636970088
